"Time","总内存","已用","可用","192.168.49.2:9100_已用(total-cache-buf-free)","使用率"
2025-06-04 20:45:00,8187629568,6162780160,2024849408,7436148736,
2025-06-04 20:50:00,8187629568,6208532480,1979097088,7403933696,
2025-06-04 20:55:00,8187629568,6259855360,1927774208,7361363968,
2025-06-04 21:00:00,8187629568,6268284928,1919344640,7382380544,
2025-06-04 21:05:00,8187629568,6246948864,1940680704,7406448640,
2025-06-04 21:10:00,8187629568,6225788928,1961840640,7443795968,
2025-06-04 21:15:00,8187629568,6263046144,1924583424,7423434752,
2025-06-04 21:20:00,8187629568,6201319424,1986310144,7477510144,75.7
2025-06-04 21:25:00,8187629568,6257795072,1929834496,7417171968,
2025-06-04 21:30:00,8187629568,6256173056,1931456512,7401664512,
2025-06-04 21:35:00,8187629568,6264524800,1923104768,7469293568,
2025-06-04 21:40:00,8187629568,6288261120,1899368448,7437729792,
2025-06-04 21:45:00,8187629568,6267899904,1919729664,7456591872,
2025-06-04 21:50:00,8187629568,6389702656,1797926912,7551610880,
2025-06-04 21:55:00,8187629568,6252285952,1935343616,7620128768,
2025-06-04 22:00:00,8187629568,6299979776,1887649792,7550656512,
2025-06-04 22:05:00,8187629568,6311235584,1876393984,7492075520,
2025-06-04 22:10:00,8187629568,6257811456,1929818112,7519911936,76.4
2025-06-04 22:15:00,8187629568,6290468864,1897160704,7466512384,
2025-06-04 22:20:00,8187629568,6273712128,1913917440,7806455808,
2025-06-04 22:25:00,8187629568,6272552960,1915076608,7782662144,
2025-06-04 22:30:00,8187629568,6293590016,1894039552,7727611904,
2025-06-04 22:35:00,8187629568,6233841664,1953787904,7748534272,
2025-06-04 22:40:00,8187629568,6287638528,1899991040,7674736640,
2025-06-04 22:45:00,8187629568,6294769664,1892859904,7634341888,
2025-06-04 22:50:00,8187629568,6302744576,1884884992,7658184704,
2025-06-04 22:55:00,8187629568,6287626240,1900003328,7653101568,
2025-06-04 23:00:00,8187629568,6154817536,2032812032,7677710336,75.2
2025-06-04 23:05:00,8187629568,6188900352,1998729216,7636951040,
2025-06-04 23:10:00,8187629568,6215229440,1972400128,7582191616,
2025-06-04 23:15:00,8187629568,6210932736,1976696832,7567040512,
2025-06-04 23:20:00,8187629568,6250840064,1936789504,7507152896,
2025-06-04 23:25:00,8187629568,6215536640,1972092928,7513739264,
2025-06-04 23:30:00,8187629568,6200848384,1986781184,7511990272,
2025-06-04 23:35:00,8187629568,6219472896,1968156672,7442350080,
2025-06-04 23:40:00,8187629568,6234624000,1953005568,7423488000,
2025-06-04 23:45:00,8187629568,6210027520,1977602048,7465684992,
2025-06-04 23:50:00,8187629568,6218346496,1969283072,7497261056,75.9
2025-06-04 23:55:00,8187629568,6224441344,1963188224,7477956608,
2025-06-05 00:00:00,8187629568,6242979840,1944649728,7487901696,
2025-06-05 00:05:00,8187629568,6251298816,1936330752,7502110720,
2025-06-05 00:10:00,8187629568,6248779776,1938849792,7488983040,
2025-06-05 00:15:00,8187629568,6256328704,1931300864,7491788800,
2025-06-05 00:20:00,8187629568,6274965504,1912664064,7525392384,
2025-06-05 00:25:00,8187629568,6249869312,1937760256,7525117952,
2025-06-05 00:30:00,8187629568,6240731136,1946898432,7514742784,
2025-06-05 00:35:00,8187629568,6274285568,1913344000,7480438784,
2025-06-05 00:40:00,8187629568,6245855232,1941774336,7488548864,76.3
2025-06-05 00:45:00,8187629568,6248873984,1938755584,7510487040,
2025-06-05 00:50:00,8187629568,6273708032,1913921536,7546646528,
2025-06-05 00:55:00,8187629568,6256775168,1930854400,7542337536,
2025-06-05 01:00:00,8187629568,6303629312,1884000256,7528046592,
2025-06-05 01:05:00,8187629568,6272204800,1915424768,7700705280,
2025-06-05 01:10:00,8187629568,6285398016,1902231552,7667224576,
2025-06-05 01:15:00,8187629568,6282465280,1905164288,7652581376,
2025-06-05 01:20:00,8187629568,6303096832,1884532736,7609872384,
2025-06-05 01:25:00,8187629568,6322442240,1865187328,7565258752,
2025-06-05 01:30:00,8187629568,6336069632,1851559936,7549460480,77.4
2025-06-05 01:35:00,8187629568,6342627328,1845002240,7571333120,
2025-06-05 01:40:00,8187629568,6303584256,1884045312,7611904000,
2025-06-05 01:45:00,8187629568,6331179008,1856450560,7578312704,
2025-06-05 01:50:00,8187629568,6343667712,1843961856,7592943616,
2025-06-05 01:55:00,8187629568,6377537536,1810092032,7611113472,
2025-06-05 02:00:00,8187629568,6360489984,1827139584,7610523648,
2025-06-05 02:05:00,8187629568,6349238272,1838391296,7609839616,
2025-06-05 02:10:00,,,,,
2025-06-05 02:15:00,,,,,
2025-06-05 02:20:00,,,,,
2025-06-05 02:25:00,,,,,
2025-06-05 02:30:00,8187629568,6341066752,1846562816,7614234624,
2025-06-05 02:35:00,,,,,
2025-06-05 02:40:00,,,,,
2025-06-05 02:45:00,,,,,
2025-06-05 02:50:00,8187629568,6318362624,1869266944,7605305344,
2025-06-05 02:55:00,,,,,
2025-06-05 03:00:00,,,,,
2025-06-05 03:05:00,,,,,
2025-06-05 03:10:00,,,,,
2025-06-05 03:15:00,,,,,
