"Time","系统使用率","用户使用率","磁盘IO使用率","总使用率"
2025-06-04 21:55:00,1.03,1.48,0.0333,3.00
2025-06-04 22:00:00,0.654,1.24,0.0458,2.59
2025-06-04 22:05:00,0.729,1.38,0.0333,2.51
2025-06-04 22:10:00,1.07,1.75,0.0458,3.24
2025-06-04 22:15:00,1.00,1.91,0.0375,3.00
2025-06-04 22:20:00,0.996,1.48,0.0333,3.37
2025-06-04 22:25:00,0.896,1.36,0.0500,2.82
2025-06-04 22:30:00,0.779,1.40,0.0417,2.93
2025-06-04 22:35:00,0.908,1.42,0.0458,2.92
2025-06-04 22:40:00,0.750,1.37,0.0500,2.81
2025-06-04 22:45:00,0.908,1.73,0.0500,2.98
2025-06-04 22:50:00,0.796,1.27,0.0417,2.97
2025-06-04 22:55:00,1.57,1.37,4.16,8.04
2025-06-04 23:00:00,1.00,1.85,0.0542,3.08
2025-06-04 23:05:00,0.921,1.48,0.0292,3.10
2025-06-04 23:10:00,0.775,1.34,0.0292,2.91
2025-06-04 23:15:00,0.967,1.75,0.0417,3.06
2025-06-04 23:20:00,0.792,1.25,0.0458,2.96
2025-06-04 23:25:00,0.917,1.48,0.0458,3.02
2025-06-04 23:30:00,0.946,1.42,0.0417,2.86
2025-06-04 23:35:00,0.829,1.37,0.0417,2.89
2025-06-04 23:40:00,0.979,1.66,0.0292,2.98
2025-06-04 23:45:00,0.942,1.68,0.0375,3.14
2025-06-04 23:50:00,1.12,1.48,0.0375,3.38
2025-06-04 23:55:00,0.858,1.88,0.0458,2.95
2025-06-05 00:00:00,0.767,1.46,0.0333,3.01
2025-06-05 00:05:00,0.958,1.72,0.0292,2.94
2025-06-05 00:10:00,0.975,1.51,0.0417,3.08
2025-06-05 00:15:00,0.683,1.30,0.0333,3.02
2025-06-05 00:20:00,1.20,2.12,0.0500,3.38
2025-06-05 00:25:00,1.08,1.65,0.0333,3.16
2025-06-05 00:30:00,1.12,1.55,0.0333,3.17
2025-06-05 00:35:00,1.08,1.75,0.0375,3.07
2025-06-05 00:40:00,1.10,1.49,0.0333,3.17
2025-06-05 00:45:00,1.15,1.55,0.0417,3.30
2025-06-05 00:50:00,1.39,1.98,0.0458,3.56
2025-06-05 00:55:00,1.13,1.62,0.0250,3.34
2025-06-05 01:00:00,1.11,1.46,0.0375,3.20
2025-06-05 01:05:00,1.14,1.60,0.0375,3.17
2025-06-05 01:10:00,0.921,1.26,0.0250,3.01
2025-06-05 01:15:00,1.13,1.35,0.0333,3.23
2025-06-05 01:20:00,1.15,1.48,0.0333,3.19
2025-06-05 01:25:00,0.983,1.41,0.0375,3.12
2025-06-05 01:30:00,0.992,1.38,0.0333,3.07
2025-06-05 01:35:00,1.12,1.53,0.0333,3.18
2025-06-05 01:40:00,0.983,1.31,0.0375,3.14
2025-06-05 01:45:00,1.04,1.38,0.0292,3.19
2025-06-05 01:50:00,1.05,1.59,0.0375,3.33
2025-06-05 01:55:00,1.05,1.59,0.0375,3.27
2025-06-05 02:00:00,0.983,1.41,0.0375,3.05
2025-06-05 02:05:00,0.754,1.43,0.0417,2.80
2025-06-05 02:10:00,,,,
2025-06-05 02:15:00,,,,
2025-06-05 02:20:00,,,,
2025-06-05 02:25:00,,,,
2025-06-05 02:30:00,,,,
2025-06-05 02:35:00,,,,
2025-06-05 02:40:00,,,,
2025-06-05 02:45:00,,,,
2025-06-05 02:50:00,0.775,1.28,0.0375,2.63
2025-06-05 02:55:00,,,,
2025-06-05 03:00:00,,,,
2025-06-05 03:05:00,,,,
2025-06-05 03:10:00,,,,
2025-06-05 03:15:00,,,,
2025-06-05 03:20:00,,,,
2025-06-05 03:25:00,,,,
2025-06-05 03:30:00,,,,
2025-06-05 03:35:00,,,,
2025-06-05 03:40:00,,,,
2025-06-05 03:45:00,,,,
2025-06-05 03:50:00,,,,
2025-06-05 03:55:00,,,,
2025-06-05 04:00:00,,,,
2025-06-05 04:05:00,,,,
2025-06-05 04:10:00,,,,
2025-06-05 04:15:00,,,,
2025-06-05 04:20:00,,,,
2025-06-05 04:25:00,,,,
2025-06-05 04:30:00,,,,
2025-06-05 04:35:00,,,,
2025-06-05 04:40:00,,,,
2025-06-05 04:45:00,,,,
2025-06-05 04:50:00,,,,
2025-06-05 04:55:00,,,,
2025-06-05 05:00:00,,,,
2025-06-05 05:05:00,,,,
2025-06-05 05:10:00,,,,
2025-06-05 05:15:00,,,,
2025-06-05 05:20:00,,,,
2025-06-05 05:25:00,,,,
2025-06-05 05:30:00,,,,
2025-06-05 05:35:00,,,,
2025-06-05 05:40:00,,,,
2025-06-05 05:45:00,,,,
2025-06-05 05:50:00,,,,
2025-06-05 05:55:00,,,,
2025-06-05 06:00:00,,,,
2025-06-05 06:05:00,,,,
2025-06-05 06:10:00,,,,
2025-06-05 06:15:00,,,,
2025-06-05 06:20:00,,,,
2025-06-05 06:25:00,,,,
2025-06-05 06:30:00,,,,
2025-06-05 06:35:00,,,,
2025-06-05 06:40:00,,,,
2025-06-05 06:45:00,,,,
2025-06-05 06:50:00,,,,
2025-06-05 06:55:00,,,,
2025-06-05 07:00:00,,,,
2025-06-05 07:05:00,,,,
2025-06-05 07:10:00,,,,
2025-06-05 07:15:00,,,,
2025-06-05 07:20:00,,,,
2025-06-05 07:25:00,,,,
2025-06-05 07:30:00,,,,
2025-06-05 07:35:00,,,,
