"Time","1分钟负载","5分钟负载","15分钟负载","CPU总核数"
2025-06-04 23:00:00,0.570,0.960,0.900,16
2025-06-04 23:05:00,0.630,0.660,0.780,16
2025-06-04 23:10:00,0.210,0.500,0.680,16
2025-06-04 23:15:00,0.520,0.480,0.610,16
2025-06-04 23:20:00,1.24,0.680,0.650,16
2025-06-04 23:25:00,0.430,0.960,0.820,16
2025-06-04 23:30:00,0.600,0.750,0.770,16
2025-06-04 23:35:00,0.600,0.530,0.650,16
2025-06-04 23:40:00,0.520,0.510,0.600,16
2025-06-04 23:45:00,0.350,0.490,0.580,16
2025-06-04 23:50:00,0.380,0.350,0.480,16
2025-06-04 23:55:00,1.76,0.750,0.590,16
2025-06-05 00:00:00,0.240,0.510,0.530,16
2025-06-05 00:05:00,0.910,0.590,0.540,16
2025-06-05 00:10:00,0.550,0.570,0.550,16
2025-06-05 00:15:00,0.390,0.420,0.480,16
2025-06-05 00:20:00,0.290,0.340,0.420,16
2025-06-05 00:25:00,0.260,0.340,0.400,16
2025-06-05 00:30:00,0.930,0.700,0.530,16
2025-06-05 00:35:00,0.280,0.430,0.450,16
2025-06-05 00:40:00,0.390,0.430,0.450,16
2025-06-05 00:45:00,1.26,0.850,0.600,16
2025-06-05 00:50:00,0.240,0.790,0.680,16
2025-06-05 00:55:00,2.79,1.34,0.870,16
2025-06-05 01:00:00,0.490,1.13,0.950,16
2025-06-05 01:05:00,0.500,0.670,0.790,16
2025-06-05 01:10:00,0.370,0.640,0.760,16
2025-06-05 01:15:00,0.330,0.410,0.630,16
2025-06-05 01:20:00,0.480,0.530,0.610,16
2025-06-05 01:25:00,0.440,0.490,0.580,16
2025-06-05 01:30:00,0.850,0.980,0.820,16
2025-06-05 01:35:00,0.590,0.590,0.690,16
2025-06-05 01:40:00,0.600,0.530,0.630,16
2025-06-05 01:45:00,0.950,1.05,0.830,16
2025-06-05 01:50:00,0.670,0.990,0.870,16
2025-06-05 01:55:00,0.490,0.620,0.730,16
2025-06-05 02:00:00,0.270,0.430,0.620,16
2025-06-05 02:05:00,0.780,0.530,0.630,16
2025-06-05 02:10:00,,,,
2025-06-05 02:15:00,,,,
2025-06-05 02:20:00,,,,
2025-06-05 02:25:00,,,,
2025-06-05 02:30:00,0.610,0.510,0.620,16
2025-06-05 02:35:00,,,,
2025-06-05 02:40:00,,,,
2025-06-05 02:45:00,,,,
2025-06-05 02:50:00,0.470,0.480,0.610,16
2025-06-05 02:55:00,,,,
2025-06-05 03:00:00,,,,
2025-06-05 03:05:00,,,,
2025-06-05 03:10:00,,,,
2025-06-05 03:15:00,,,,
2025-06-05 03:20:00,,,,
2025-06-05 03:25:00,,,,
2025-06-05 03:30:00,,,,
2025-06-05 03:35:00,,,,
2025-06-05 03:40:00,,,,
2025-06-05 03:45:00,,,,
2025-06-05 03:50:00,,,,
2025-06-05 03:55:00,,,,
2025-06-05 04:00:00,,,,
2025-06-05 04:05:00,,,,
2025-06-05 04:10:00,,,,
2025-06-05 04:15:00,,,,
2025-06-05 04:20:00,,,,
2025-06-05 04:25:00,,,,
2025-06-05 04:30:00,,,,
2025-06-05 04:35:00,,,,
2025-06-05 04:40:00,,,,
2025-06-05 04:45:00,,,,
2025-06-05 04:50:00,,,,
2025-06-05 04:55:00,,,,
2025-06-05 05:00:00,,,,
2025-06-05 05:05:00,,,,
2025-06-05 05:10:00,,,,
2025-06-05 05:15:00,,,,
2025-06-05 05:20:00,,,,
2025-06-05 05:25:00,,,,
2025-06-05 05:30:00,,,,
2025-06-05 05:35:00,,,,
2025-06-05 05:40:00,,,,
2025-06-05 05:45:00,,,,
2025-06-05 05:50:00,,,,
2025-06-05 05:55:00,,,,
2025-06-05 06:00:00,,,,
2025-06-05 06:05:00,,,,
2025-06-05 06:10:00,,,,
2025-06-05 06:15:00,,,,
2025-06-05 06:20:00,,,,
2025-06-05 06:25:00,,,,
2025-06-05 06:30:00,,,,
2025-06-05 06:35:00,,,,
2025-06-05 06:40:00,,,,
2025-06-05 06:45:00,,,,
2025-06-05 06:50:00,,,,
2025-06-05 06:55:00,,,,
2025-06-05 07:00:00,,,,
2025-06-05 07:05:00,,,,
2025-06-05 07:10:00,,,,
2025-06-05 07:15:00,,,,
2025-06-05 07:20:00,,,,
2025-06-05 07:25:00,,,,
2025-06-05 07:30:00,,,,
2025-06-05 07:35:00,,,,
2025-06-05 07:40:00,,,,
2025-06-05 07:45:00,,,,
2025-06-05 07:50:00,,,,
2025-06-05 07:55:00,,,,
2025-06-05 08:00:00,,,,
2025-06-05 08:05:00,,,,
2025-06-05 08:10:00,,,,
2025-06-05 08:15:00,,,,
2025-06-05 08:20:00,,,,
2025-06-05 08:25:00,,,,
2025-06-05 08:30:00,,,,
2025-06-05 08:35:00,,,,
2025-06-05 08:40:00,,,,
2025-06-05 08:45:00,,,,
2025-06-05 08:50:00,,,,
2025-06-05 08:55:00,,,,
2025-06-05 09:00:00,,,,
2025-06-05 09:05:00,,,,
2025-06-05 09:10:00,,,,
2025-06-05 09:15:00,,,,
2025-06-05 09:20:00,,,,
2025-06-05 09:25:00,,,,
2025-06-05 09:30:00,,,,
2025-06-05 09:35:00,,,,
2025-06-05 09:40:00,,,,
2025-06-05 09:45:00,,,,
2025-06-05 09:50:00,,,,
2025-06-05 09:55:00,,,,
2025-06-05 10:00:00,,,,
2025-06-05 10:05:00,,,,
2025-06-05 10:10:00,,,,
2025-06-05 10:15:00,,,,
2025-06-05 10:20:00,,,,
2025-06-05 10:25:00,,,,
2025-06-05 10:30:00,,,,
2025-06-05 10:35:00,,,,
2025-06-05 10:40:00,,,,
2025-06-05 10:45:00,,,,
2025-06-05 10:50:00,,,,
2025-06-05 10:55:00,,,,
2025-06-05 11:00:00,,,,
2025-06-05 11:05:00,,,,
2025-06-05 11:10:00,,,,
2025-06-05 11:15:00,,,,
2025-06-05 11:20:00,,,,
2025-06-05 11:25:00,,,,
2025-06-05 11:30:00,,,,
2025-06-05 11:35:00,,,,
2025-06-05 11:40:00,,,,
2025-06-05 11:45:00,,,,
2025-06-05 11:50:00,,,,
2025-06-05 11:55:00,,,,
2025-06-05 12:00:00,,,,
2025-06-05 12:05:00,,,,
2025-06-05 12:10:00,,,,
2025-06-05 12:15:00,,,,
2025-06-05 12:20:00,,,,
2025-06-05 12:25:00,,,,
2025-06-05 12:30:00,,,,
2025-06-05 12:35:00,,,,
2025-06-05 12:40:00,,,,
2025-06-05 12:45:00,,,,
2025-06-05 12:50:00,,,,
2025-06-05 12:55:00,,,,
2025-06-05 13:00:00,,,,
2025-06-05 13:05:00,,,,
2025-06-05 13:10:00,0.680,0.540,0.620,16
2025-06-05 13:15:00,0.790,0.620,0.630,16

